id,label,url,brand,name,skin_type,price ,img,spf,concern,concern2,concern3,key_ingredient,fomula
skincare_513,cleanser,https://www.myntra.com/face-wash-and-cleanser/garnier/garnier-men-pack-of-2-power-white-anti-pollution-double-action-face-wash/11815884/buy,Garnier,Men Pack of 2 Power White Anti-Pollution Double Action Face Wash,All," Rs. 1,725.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11815884/2020/4/29/0c000155-7e06-4046-8738-729e6890779f1588144420246FaceWashandCleanserGarnierMen1.jpg",,Lightening,,,,Gel
skincare_514,cleanser,https://www.myntra.com/face-wash-and-cleanser/deyomkar/deyomkar-natural-herbal--charcoal-face-wash---200-ml/15336044/buy,Deyomkar,Natural Herbal & Charcoal Face Wash - 200 ml,All, Rs. 570.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15336044/2021/9/2/876dac04-a976-474b-9cb8-31e58f18c84c1630554581859DeyomkarNaturalHerbalCharcolFacewash1.jpg",,Daily Use,Anti-Pollution,Dull Skin,Charcoal,Gel
skincare_515,cleanser,https://www.myntra.com/face-wash-and-cleanser/taavi/taavi-unisex-natreal-brightening-ubtan-face-wash-210-ml/13454644/buy,Taavi,Unisex Natreal Brightening Ubtan Face Wash 210 ml,All, Rs. 745.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13454644/2021/2/2/cd2b0020-c520-45ba-800f-d5013b56e67f1612243793953-Natural-Face-wash-Ubtan-Face-8711612243792232-1.jpg",,General Care,Daily Use,,,Cream
skincare_516,cleanser,https://www.myntra.com/face-wash-and-cleanser/beardo/beardo-men-set-of-de-tan--ultraglow-face-washes/14465226/buy,BEARDO,Men Set of De-Tan & UltraGlow Face Washes,All," Rs. 2,280.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14465226/2021/6/16/79f712b8-c7d2-4953-a9a1-a2fbc8d554611623837247508-BEARDO-Men-Face-Wash-and-Cleanser-8901623837247341-1.jpg",,General Care,Excess Oil,Anti-Pollution,,Cream
skincare_517,cleanser,https://www.myntra.com/face-wash-and-cleanser/wow-skin-science/wow-skin-science-unisex-apple-cider-vinegar-foaming-face-wash-save-earth-combo-pack-350-ml/14237558/buy,WOW SKIN SCIENCE,Unisex Apple Cider Vinegar Foaming Face Wash Save Earth Combo Pack 350 ml,All," Rs. 3,990.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/5/3/6c148dda-4407-4dfb-a06c-74987a98257d1620039329793-1.jpg",,General Care,,,,Cream
skincare_518,cleanser,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-set-of-face-wash--moisturiser/11817058/buy,Himalaya,Set of Face Wash & Moisturiser,Oily," Rs. 1,085.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11817058/2020/4/29/4dbf804f-10bb-4fa6-b259-53bc8ecbf3c01588144419931FaceWashandCleanserGarnierMenHairCreamandMaskLOrealUnisexFac1.jpg",,Excess Oil,General Care,Deep Nourishment,,Gel
skincare_519,cleanser,https://www.myntra.com/face-wash-and-cleanser/saamya/saamya-refresh-anti-bacterial-face--body-wash-200ml/15341604/buy,Saamya,Refresh Anti Bacterial Face & Body Wash 200ml,All," Rs. 2,040.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15341604/2021/9/2/751e0be8-326f-496b-8ffb-efb68180fc321630574680203FaceWashandCleanser1.jpg",,Dryness,Dryness,Softening and Smoothening,Aloe Vera,Gel
skincare_520,cleanser,https://www.myntra.com/face-wash-and-cleanser/bioderma/bioderma-unisex-pigmentbio-foaming-cream-brightening-exfoliating-cleanser-200-ml/14993074/buy,BIODERMA,Unisex Pigmentbio Foaming Cream Brightening Exfoliating Cleanser 200 ml,Normal," Rs. 7,950.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14993074/2021/7/31/8375d073-3bea-4f8a-bcee-c42f0e6b5b8f1627743620125BIODERMA1.jpg",,Pigmentation,,,,Cream
skincare_521,cleanser,https://www.myntra.com/face-wash-and-cleanser/ethiglo/ethiglo-skin-whitening-face-wash-200-ml/12795872/buy,ETHIGLO,Skin Whitening Face Wash 200 ml,All," Rs. 2,495.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/10/20/7f1ad93f-06e9-41fd-9622-dcd7413a6f171603145940938-1.jpg",,General Care,,,,Cream
skincare_522,cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-set-of-cream--face-wash/13538384/buy,Biotique,Set Of Cream & Face Wash,All," Rs. 1,425.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13538384/2021/1/29/fe357235-243a-409f-909d-3b3d1ef41d6c1611922191342BiotiqueSetOfCreamLipBalmFaceMoisturisersBiotiqueUnisexFaceW1.jpg",,Dull Skin,Uneven Skin Tone,Daily Use,Honey,Cream
skincare_523,cleanser,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-set-of-2-facewash---deep-cleansing-apricot--oil-clear-lemon/15063338/buy,Himalaya,Set of 2 Facewash - Deep Cleansing Apricot & Oil Clear Lemon,Normal," Rs. 1,035.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15063338/2021/8/24/6b3293b4-e067-4d78-99e6-566e40fa3eb91629802833395-Himalaya-Unisex-Face-Wash-and-Cleanser-8161629802833223-1.jpg",,Acne and Blemishes,Pigmentation,Daily Use,Aloe Vera,Gel
skincare_524,cleanser,https://www.myntra.com/face-wash-and-cleanser/havintha/havintha-natural-amba-haldi-powder-for-face/15386564/buy,Havintha,Natural Amba Haldi Powder For Face,Normal," Rs. 1,495.00 ","https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/15386564/2021/9/7/f89cc569-120c-46c5-9bd7-ce2b9b88c1ce1630998219542FaceWashandCleanser1.jpg",,Lightening,,,Turmeric,Cream
skincare_525,cleanser,https://www.myntra.com/face-wash-and-cleanser/bioderma/bioderma-sebium-gel-moussant-face-wash-200-ml/2138160/buy,BIODERMA,Sebium Gel Moussant Face Wash 200 ml,Sensitive," Rs. 7,875.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2138160/2021/7/1/66a286ef-126a-4b4c-ab3a-e6a4502a9c7f1625080535871-BIODERMA-Sebium-Gel-Moussant-Face-Wash-200-ml-33516250805357-1.jpg",,Acne and Blemishes,,,,Cream
