id,label,url,,shade,concern,finish,coverage,formulation,rating,brand,name, price ,skin type,skin tone,img,
makeup_11,primer,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-prime-focus-primer-serum-30-ml/12009692/buy,https://www.myntra.com/foundation-and-primer/wet-n-wild/wet-n-wild-sustainable-prime-focus-primer-serum-30-ml/12009692/buy,Natural,Uneven Texture,luminous,low,liquid,4.3,wet n wild,sustainable prime focus primer serum 30 ml," Rs. 2,435.00 ",all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12009692/2020/8/4/300c1710-ad35-4b27-a134-160a8c2d2ad81596554258365-Wet-n-Wild-Women-Foundation-and-Primer-2471596554258050-1.jpg",
makeup_12,primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-women-blue-aquaholic-hydrating-primer/14893438/buy,https://www.myntra.com/foundation-and-primer/sugar/sugar-women-blue-aquaholic-hydrating-primer/14893438/buy,Natural,Fine Lines and Wrinkles,matte,full,cream,4.5,sugar,women blue aquaholic hydrating primer," Rs. 3,495.00 ",dry,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14893438/2021/7/30/0b4f3609-fc9b-4ccc-81d5-68893efe72091627642551022-SUGAR-Women-Blue-Aquaholic-Hydrating-Primer-4681627642550645-1.jpg",
makeup_13,primer,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-h2o-hydrate-primer/15286240/buy,https://www.myntra.com/foundation-and-primer/relove/relove-by-revolution-h2o-hydrate-primer/15286240/buy,H2o Hydrate,Dryness,natural,full,gel,4,relove,by revolution h2o hydrate primer," Rs. 2,095.00 ",dry,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15286240/2021/9/2/630178c2-faf4-45c1-a0d7-67d5677695351630586406758-RELOVE-Women-Foundation-and-Primer-3141630586406607-1.jpg",
makeup_14,primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-matte-fix-oil-control-fixing-spray-100ml/1924752/buy,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-matte-fix-oil-control-fixing-spray-100ml/1924752/buy,Neutral,Pore Minimizing and Blurring,matte,full,liquid,4.3,makeup revolution london,matte fix oil control fixing spray 100ml," Rs. 3,575.00 ",oily,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1924752/2019/5/29/92c8e146-d7a1-40f0-848c-61458d8ad1fe1559105959751-Makeup-Revolution-London-Pro-Fix-Oil-Control-Fixing-Spray-79-1.jpg",
makeup_15,primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-glow-fix-illuminating-fixing-spray-100-ml/1924751/buy,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-glow-fix-illuminating-fixing-spray-100-ml/1924751/buy,Beige,brightening,Illuminating,full,liquid,4.2,makeup revolution london,glow fix illuminating fixing spray 100 ml," Rs. 3,735.00 ",dry,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1924751/2019/6/18/326facd4-4a9e-47a7-921c-022030a29be31560859085879-Makeup-Revolution-London-Pro-Fix-Illuminating-Fixing-Spray-3-1.jpg",
makeup_16,primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-halo-healthy-glow-all-in-1-primer/13356428/buy,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-halo-healthy-glow-all-in-1-primer/13356428/buy,Beige,Uneven Texture,luminous,medium ,cream,5,smashbox,halo healthy glow all in 1 primer," Rs. 13,250.00 ",normal,fair to light,"https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/13356428/2021/3/18/d8392ac6-92a1-4079-acdf-c4149a4a97d41616045549828-Smashbox-Women-Foundation-and-Primer-521616045549720-1.jpg",
makeup_17,primer,https://www.myntra.com/foundation-and-primer/loreal/loreal-paris-infallible-lasting-primer-30-ml/13324930/buy,https://www.myntra.com/foundation-and-primer/loreal/loreal-paris-infallible-lasting-primer-30-ml/13324930/buy,Transparent,Uneven Texture,matte,medium ,liquid,4.4,loreal,paris infallible lasting primer 30 ml," Rs. 3,000.00 ",all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13324930/2021/2/5/647bab60-6a74-4ec6-a87f-090d748145251612506883296-LOreal-Women-Foundation-and-Primer-3331612506882606-1.jpg",
makeup_18,primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-grand-finale-dewy-setting-mist---50-ml/12468510/buy,https://www.myntra.com/foundation-and-primer/sugar/sugar-grand-finale-dewy-setting-mist---50-ml/12468510/buy,Transparent,Dryness,dewy,full,spray,4.4,sugar,grand finale dewy setting mist - 50 ml," Rs. 3,495.00 ",normal,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12468510/2021/8/13/30689d24-d2ee-49e3-a5e7-e5ad17764b041628846511992SUGARGrandFinaleDewySettingMist-50ml1.jpg",
makeup_19,primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-hd-ace-of-base-radiance-primer-30-g/11488666/buy,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-ultime-pro-hd-ace-of-base-radiance-primer-30-g/11488666/buy,Clear,Uneven Texture,luminous,medium ,cream,4.3,faces canada,ultime pro hd ace of base radiance primer 30 g," Rs. 3,595.00 ",all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11488666/2020/2/19/86095380-ac83-46eb-9d52-d8ae2948e9911582108231669-FACES-CANADA-Women-Foundation-and-Primer-281582108231146-1.jpg",
makeup_20,primer,https://www.myntra.com/foundation-and-primer/milani/milani-bright-side-illuminating-face-primer/14685998/buy,https://www.myntra.com/foundation-and-primer/milani/milani-bright-side-illuminating-face-primer/14685998/buy,Bright side illuminating,Acne or Blemishes,Illuminating,full,cream,4.5,milani,bright side illuminating face primer," Rs. 5,200.00 ",normal,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14685998/2021/9/30/99a43f55-cebe-4a83-be92-3403439699c71633026290743-MILANI-Women-Foundation-and-Primer-5441633026290128-1.jpg",
